Timestamp,Email Address,Student ID,First Name,Last Name,Major,GPA,Desired Team Role,What is your time commitment to this course?,Level of Detail,Problem Solving Approach,Conflicts,General skills and interests [Writing],General skills and interests [Presentation Generation],General skills and interests [Presentation Delivery],General skills and interests [Project Management],General skills and interests [Marketing / Customer Relationship],Mechanical Skills and Interests [Machining],Mechanical Skills and Interests [CNC],Mechanical Skills and Interests [Fluids],Mechanical Skills and Interests [Heat Transfer],Mechanical Skills and Interests [Mechanics of Materials],Mechanical Skills and Interests [Finite Element Analysis],Mechanical Skills and Interests [Kinematics and Dynamics],Mechanical Skills and Interests [Computational Fluid Dynamics],Electrical Skills and Interests [Circuits],"Electrical Skills and Interests [Digital/FPGA Design (Vivado, etc.)]",Electrical Skills and Interests [Communication Systems],Electrical Skills and Interests [Power Electronics and Systems],Electrical Skills and Interests [Signals and Systems ],Electrical Skills and Interests [Wireless Communication],Electrical Skills and Interests [Control Systems],Electrical Skills and Interests [Electromechanics],"Electrical Skills and Interests [PCB Design (Eagle, ExpressPCB, etc.)]",Computer Systems Skills and interests [Windows PC],Computer Systems Skills and interests [Mac PC],Computer Systems Skills and interests [Arduino],Computer Systems Skills and interests [Raspberry Pi],Computer Systems Skills and interests [Build your own PC],"Computer Systems Skills and interests [IoT (Alexa, Google assistant, etc.)]",Software Skills and Interests [Matlab],Software Skills and Interests [C/C++],Software Skills and Interests [Java],Software Skills and Interests [Python],Software Skills and Interests [Embedded],Software Skills and Interests [Networking],Software Skills and Interests [Operating Systems/Linux],Software Skills and Interests [Machine Learning/ Big Data],Software Skills and Interests [App development (iOS and/or Android)],"Software Skills and Interests [Cloud computing (AWS, Azure, etc.)]",Software Skills and Interests [Database (relational or non-relational)],Project: [Competition - Baja SAE],Project: [Competition - ASME Human Powered Vehicle],Project: [Community - Gyroplane],Project: [Community - Waste for Life Tijuana ],Project: [Community - Mobile Steam Collaboratory],Project: [eTrack - Life Box],Project: [eTrack - Discrete Solar],Project: [eTrack - Sunshine Box],Project: [eTrack - Helmet Sensor],Project: [Industry - Glaukos - Human Periorbital Tissue],Project: [Industry - Clear Blue Sea - Marine Robot],Project: [Industry - ThermoFisher - Bench Top Filler],Project: [Industry - General Atomics - Mockingjay],Project: [Industry - Hatsu - Charging Station for UAV],Project: [Industry - Solar Turbines - Automatic Leveling],Project: [Industry - Northrup - Active Field Cancellation],Project: [Industry - MexLog - Combo Saddle and Elevation System],Project: [Industry - Cubic - Accesible Fare Payment],Project: [Industry - SDGE - Integrated Control of Local Battery],Project: [Industry -Hi-Q Environmental Products - Testing Collection Efficiency of Annular Kinetic Impactor],Project: [CS - Northrup - Machine Learning],Project: [CS - COR.PER - Insights],Project: [CS - Jacobitz - Computing Clusters],Project: [CS - Atlazo - Heart Rhythm Monitoring],Project: [CS - Georgia Tech - Automated System Deployment and Configuration],Project: [CS - Seamgen - Platform for software design],Project: [CS - Hoople - Project Team Match],Project: [CS - Nuuve Corp - Electric Vehicle and User Identification ],Project: [CS - Bennett - Financial Planning Note-taking Application],Project: [CS - Clarke - Unity 3D Game],Project: [CS - Jacobs -  Nudge App & Kiosk],Are you already a member of an entrepreneurship team? ,Confidential Comments to Instructors,Gender,What categories do you most identify as? Check all that apply.
9/10/2019 20:02,DZCH@sandiego.edu,58,HBL,SSA,Computer Science,3.4,Leader,4-6 hours outside of class per week,1,2,,Proficient,Adept,Adept,Adept,Somewhat capable,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Interested and able to learn,No interest,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Adept,Somewhat Capable,Somewhat Capable,Somewhat Capable,Proficient,Somewhat Capable,Adept,Adept,Adept,Interested and able to learn,Interested and able to learn,Somewhat Capable,Adept,Proficient,Proficient,Somewhat Capable,,,,,,,4,,,,,,5,,,,,,,,6,Avoid,,Avoid,,7,1,3,2,,Avoid,No,,Male,White
9/10/2019 20:06,MUNB@sandiego.edu,59,WXN,PYA,Computer Science,3.57,Leader,Depending on the project I will be willing to commit much more time or decide to be a contributor,2,2,,Adept,Proficient,Adept,Adept,Adept,Interested and able to learn,No interest,No interest,No interest,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,Somewhat familiar,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Somewhat Capable,Interested and able to learn,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,No interest,Somewhat Capable,Proficient,Adept,Somewhat Familiar,Somewhat Familiar,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,4,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,1,Avoid,Avoid,Avoid,2,3,7,6,5,Avoid,Avoid,No,,Male,White
9/10/2019 20:07,RWKE@sandiego.edu,60,RXV,JVV,Computer Science,3.33,Contributor,4-6 hours outside of class per week,2,1,,Adept,Adept,Somewhat familiar,Somewhat capable,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Somewhat Familiar,Somewhat Capable,Adept,Interested and able to learn,Interested and able to learn,Proficient,Adept,Proficient,Interested and able to learn,Interested and able to learn,Adept,Proficient,Interested and able to learn,Interested and able to learn,Proficient,,,,,,,,,,,,,,,,,,7,,,3,6,,1,2,5,,,4,,,No,,Male,Middle Eastern or North African
9/10/2019 20:17,KQXD@sandiego.edu,61,DGX,EOM,Mechanical Engineering,3.73,Leader,2-3 hours outside of class per week,2,2,,Proficient,Proficient,Somewhat capable,Adept,Adept,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Proficient,Interested and able to learn,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Avoid,5,Avoid,Avoid,Avoid,6,1,2,7,,4,Avoid,Avoid,Avoid,Avoid,3,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,No,,Male,"Asian / Pacific Islander, White"
9/10/2019 20:16,ITQI@sandiego.edu,62,RWE,ZQU,Computer Science,3.6,Contributor,2-3 hours outside of class per week,3,1,,Proficient,Somewhat familiar,Proficient,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Somewhat Familiar,Somewhat Familiar,Adept,Proficient,Interested and able to learn,Somewhat Capable,Proficient,Somewhat Familiar,Interested and able to learn,Proficient,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,,,,,,,,7,,,5,,4,,,,,6,,,1,,3,,2,,,,,,,Yes,,Male,Hispanic or Latino
9/10/2019 20:21,BVTS@sandiego.edu,63,VLD,HXM,Computer Science,3.62,Leader,6 hours+ outside class per week - this is a big priority for me,5,1,,Proficient,Adept,Proficient,Adept,Adept,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Somewhat capable,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Adept,Proficient,Proficient,Somewhat Capable,Interested and able to learn,No interest,Adept,Adept,Adept,Adept,Adept,Adept,Somewhat Familiar,Interested and able to learn,Adept,Adept,,,,,,,,6,,,,,,,,,,4,,,Avoid,,,7,3,1,5,2,Avoid,,Avoid,No,,Female,White
9/10/2019 20:23,HCEJ@sandiego.edu,64,VZN,ZDV,Computer Science,3.91,Contributor,4-6 hours outside of class per week,4,2,,Somewhat capable,Proficient,Proficient,Somewhat capable,Somewhat capable,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Somewhat capable,Proficient,Somewhat capable,Somewhat familiar,Somewhat capable,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Adept,Somewhat Capable,Proficient,Proficient,Adept,Somewhat Capable,Somewhat Capable,Proficient,Adept,Adept,Proficient,Proficient,Proficient,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,,,,Avoid,Avoid,,,,,,,,,,,Avoid,,5,,,6,4,7,3,,1,,2,,,,No,,Male,White
9/10/2019 20:29,FANX@sandiego.edu,65,PPX,VFQ,Mechanical Engineering,3.85,Contributor,4-6 hours outside of class per week,4,2,,Adept,Proficient,Somewhat capable,Somewhat capable,Somewhat familiar,Interested and able to learn,Interested and able to learn,Proficient,Somewhat familiar,Adept,Interested and able to learn,Proficient,Adept,Somewhat capable,No interest,Interested and able to learn,Somewhat familiar,Somewhat familiar,Interested and able to learn,Somewhat familiar,Somewhat capable,Somewhat capable,Adept,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Adept,Somewhat Familiar,Proficient,Somewhat Capable,Interested and able to learn,No interest,Interested and able to learn,No interest,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,4,3,6,,,Avoid,7,Avoid,Avoid,Avoid,2,Avoid,1,5,Avoid,,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,No,,Male,White
9/10/2019 20:37,ZMCK@sandiego.edu,66,PHL,RIK,Electrcial Engineering,3.61,Contributor,2-3 hours outside of class per week,1,1,,Proficient,Adept,Proficient,Proficient,Proficient,Somewhat capable,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Interested and able to learn,Somewhat familiar,Somewhat capable,Proficient,Proficient,Somewhat familiar,Somewhat capable,Somewhat capable,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Proficient,Proficient,Somewhat Capable,Somewhat Familiar,Somewhat Capable,Interested and able to learn,Somewhat Familiar,Proficient,Somewhat Familiar,Proficient,Proficient,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,6,7,,,,,,,,,4,,1,3,,2,,,5,,,,,,,,,,,,,No,,Male,Asian / Pacific Islander
9/10/2019 20:41,FADY@sandiego.edu,67,ZNZ,RUY,Mechanical Engineering,3.76,Contributor,4-6 hours outside of class per week,3,2,,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Somewhat capable,Somewhat capable,Proficient,Proficient,Proficient,Proficient,Somewhat capable,Somewhat capable,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,Proficient,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,2,5,,,4,,,,1,,6,3,7,,,,Avoid,Avoid,,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,,,No,,Male,White
9/10/2019 20:41,QPXD@sandiego.edu,68,TTZ,GIY,Computer Science,3.34,Either role works,4-6 hours outside of class per week,4,2,,Proficient,Proficient,Somewhat capable,Somewhat familiar,Not interested,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Adept,Somewhat Familiar,Somewhat Familiar,Adept,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Somewhat Capable,Interested and able to learn,Interested and able to learn,Somewhat Capable,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,2,Avoid,Avoid,Avoid,5,,6,3,4,,1,7,Avoid,Avoid,No,,Male,White
9/10/2019 20:45,EZGF@sandiego.edu,69,YQE,CPM,Mechanical Engineering,3.76,Contributor,4-6 hours outside of class per week,2,4,,Proficient,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Adept,Proficient,Somewhat capable,Somewhat familiar,Proficient,Somewhat familiar,Proficient,Somewhat capable,Somewhat capable,Proficient,Interested and able to learn,Somewhat familiar,Somewhat familiar,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,2,1,4,6,,,7,,5,,,,,,,,,,,,,,,,,,,,,,3,No,,Male,White
9/10/2019 20:48,UZDI@sandiego.edu,70,LQQ,QAQ,Mechanical Engineering,3.88,Either,3-5 hours outside of class per week,4,4,,Proficient,Proficient,Proficient,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Adept,Interested and able to learn,Adept,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Somewhat Capable,Proficient,Interested and able to learn,Interested and able to learn,Adept,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,4,2,,,,7,5,,3,1,,6,,,,,,,,,,,,,,,,,,,,No,,Female,White
9/10/2019 20:52,MQTC@sandiego.edu,71,FND,QMI,Mechanical Engineering,3.05,Leader,6 hours+ outside class per week - this is a big priority for me,2,2,,Adept,Adept,Adept,Somewhat familiar,Not interested,Adept,Adept,Somewhat familiar,Somewhat familiar,Proficient,Interested and able to learn,Proficient,Interested and able to learn,Somewhat capable,Somewhat familiar,Interested and able to learn,No interest,No interest,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Proficient,Adept,Adept,Adept,No interest,Somewhat Familiar,Adept,Adept,Adept,Adept,Interested and able to learn,Adept,Interested and able to learn,No interest,No interest,No interest,,5,3,,7,,4,,,,2,,1,6,,,,,,,,,,,,,,,,,,No,,Male,"Hispanic or Latino, White"
9/10/2019 20:53,ELLH@sandiego.edu,72,HIV,CVO,Computer Science,3.16,Contributor,4-6 hours outside of class per week,3,3,,Proficient,Proficient,Proficient,Proficient,Somewhat capable,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,No interest,Proficient,Adept,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,,,,,,,,,,,,,,,,,,,,,4,,,5,2,3,7,1,,,6,No,,Male,Black or African American
9/10/2019 20:53,PPYW@sandiego.edu,73,GJK,LVB,Mechanical Engineering,3.29,Leader,4-6 hours outside of class per week,5,2,,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat familiar,Proficient,Proficient,Proficient,Proficient,Proficient,Somewhat capable,Proficient,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Proficient,Adept,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Female,White
9/10/2019 21:03,QUGF@sandiego.edu,74,JHH,TMR,Computer Science,3.29,Contributor,6 hours+ outside class per week - this is a big priority for me,4,2,,Somewhat familiar,Proficient,Proficient,Proficient,Proficient,Somewhat capable,,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Proficient,Proficient,Proficient,Adept,Interested and able to learn,Proficient,Adept,Adept,Somewhat Familiar,Adept,,,Adept,Proficient,Proficient,,,,,,,,,,,,,,,,,,,,,5,,,4,,1,6,3,5,7,2,No,,Male,White
9/10/2019 21:09,JHMP@sandiego.edu,75,YFT,QRN,Computer Science,3.38,Leader,4-6 hours outside of class per week,4,3,I am fine with anyone,Adept,Proficient,Proficient,Adept,Somewhat familiar,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Proficient,Somewhat capable,Somewhat capable,Proficient,Proficient,Adept,Adept,Adept,Adept,Proficient,Adept,Adept,Adept,Somewhat Capable,Adept,Adept,Adept,Proficient,Adept,Somewhat Familiar,Adept,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,Somewhat Capable,Avoid,,Avoid,,,,,4,,,3,,,,,,,,,,6,2,5,7,,,,1,,,,No,,Female,White
9/10/2019 21:14,RTMO@sandiego.edu,76,KTE,DWA,Computer Science,3.58,Contributor,4-6 hours outside of class per week,4,3,,Adept,Proficient,Adept,Proficient,Somewhat capable,Interested and able to learn,No interest,No interest,No interest,Interested and able to learn,No interest,No interest,No interest,Interested and able to learn,Interested and able to learn,No interest,No interest,No interest,Interested and able to learn,No interest,No interest,Interested and able to learn,Somewhat Capable,Proficient,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Proficient,Adept,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,,,,4,,,,1,7,,,,,,,,,,,,,,,3,,,2,,,5,6,Yes,,Male,White
9/10/2019 21:16,BVZT@sandiego.edu,77,DTW,AVI,Mechanical Engineering,3.19,Leader,4-6 hours outside of class per week,2,2,,Adept,Adept,Adept,Adept,Adept,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Proficient,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Adept,Adept,Adept,Adept,Somewhat Capable,Proficient,Proficient,Proficient,Proficient,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,,,,,,,,,,4,7,3,2,6,,1,,,5,,,,,,,,,,,,,No,,Female,White
9/10/2019 21:18,VWZW@sandiego.edu,78,PGO,MXB,Mechanical Engineering,3.03,Leader,6 hours+ outside class per week - this is a big priority for me,4,2,,Proficient,Proficient,Adept,Adept,Adept,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Interested and able to learn,Somewhat capable,Interested and able to learn,Somewhat capable,Interested and able to learn,Interested and able to learn,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Interested and able to learn,Adept,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Avoid,5,,,3,6,,,,,"2, 4",,1,7,,,,,,,,,,,,,,,,,,No,,Male,Black or African American
9/10/2019 21:25,ZPYX@sandiego.edu,79,WGH,YED,Mechanical Engineering,3.73,Leader,4-6 hours outside of class per week,3,2,,Somewhat capable,Proficient,Proficient,Proficient,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat familiar,Proficient,Somewhat capable,Proficient,Somewhat capable,Somewhat capable,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Adept,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Adept,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,3,,,6,7,,1,2,5,,,4,,,,,,,,,,,,,,,,,,,No,,Prefer not to say,
9/10/2019 21:29,GVSF@sandiego.edu,80,IAV,UQB,Integrated Engineering,3.44,I don't mind being a leader but would be open to having a more supportive role.,6 hours+ outside class per week - this is a big priority for me,2,1,,Somewhat capable,Proficient,Proficient,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Somewhat Capable,Adept,Adept,Adept,Somewhat Familiar,Somewhat Capable,Proficient,Interested and able to learn,Proficient,Proficient,Interested and able to learn,Somewhat Capable,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Avoid,,,,,,,3,,,2,,,1,,,,4,,,7,,,6,5,,,,,,,No,,Male,Hispanic or Latino
9/10/2019 21:30,RZBN@sandiego.edu,81,VLV,BCB,Computer Science,3.83,Contributor,4-6 hours outside of class per week,2,2,,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Somewhat Capable,Proficient,Somewhat Capable,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Somewhat Capable,Interested and able to learn,Somewhat Familiar,7,,,1,,,,3,,,,,,,,,,6,4,,,,,5,,,,2,,,,No,,Male,"Hispanic or Latino, Asian / Pacific Islander"
9/10/2019 21:37,QVCI@sandiego.edu,82,LSC,EFN,Computer Science,3.59,Contributor,Just enough to get by - I have other priorities,1,5,,Proficient,Somewhat capable,Proficient,Somewhat capable,Proficient,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,Adept,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,Interested and able to learn,Somewhat Capable,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Proficient,Somewhat Familiar,Somewhat Capable,Somewhat Familiar,Interested and able to learn,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,1,4,Avoid,Avoid,Avoid,5,Avoid,Avoid,Avoid,Avoid,3,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,7,Avoid,6,Avoid,Avoid,2,No,,Male,White
9/10/2019 21:43,MGLF@sandiego.edu,83,SKW,KGR,Computer Science,3.44,Contributor,6 hours+ outside class per week - this is a big priority for me,4,2,,Adept,Adept,Adept,Proficient,Adept,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Somewhat Capable,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Adept,Adept,Somewhat Capable,Somewhat Familiar,Proficient,Proficient,Interested and able to learn,Proficient,Somewhat Familiar,Proficient,,,,,,,,,,,,,,,,,,,,,1,5,6,2,Avoid,4,,3,,Avoid,Avoid,No,,Female,White
9/10/2019 21:47,ZEUV@sandiego.edu,84,ARY,TXK,Electrcial Engineering,3.5,Contributor,4-6 hours outside of class per week,3,4,,Somewhat capable,Somewhat familiar,Somewhat familiar,Interested and able to learn,Not interested,No interest,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,No interest,Proficient,Interested and able to learn,Interested and able to learn,Somewhat capable,Somewhat familiar,Interested and able to learn,Proficient,Somewhat familiar,Somewhat capable,Proficient,Proficient,Somewhat Familiar,Somewhat Familiar,No interest,No interest,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,No interest,,,,6,,Avoid,,4,,,5,,7,3,2,,,,1,,,,,,,,,,,,,No,,Male,Middle Eastern or North African
9/10/2019 21:48,LWMJ@sandiego.edu,85,ALN,APB,Electrcial Engineering,3.29,"I don't mind either role, I am comfortable with either",6 hours+ outside class per week - this is a big priority for me,2,1,,Proficient,Adept,Adept,Proficient,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Somewhat capable,Adept,Proficient,Interested and able to learn,Interested and able to learn,Proficient,Somewhat capable,Adept,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Adept,Interested and able to learn,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Adept,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,4,Avoid,"5, Avoid",2,Avoid,Avoid,1,"6, Avoid",Avoid,Avoid,Avoid,3,Avoid,Avoid,Avoid,Avoid,7,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,No,,Male,Middle Eastern or North African
9/10/2019 21:49,QILH@sandiego.edu,86,HUN,GDI,Computer Science,3.19,Mix of the two,6 hours+ outside class per week - this is a big priority for me,3,1,,Proficient,Adept,Adept,Adept,Adept,Somewhat familiar,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Interested and able to learn,No interest,No interest,Interested and able to learn,Interested and able to learn,No interest,No interest,Adept,Adept,Interested and able to learn,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Proficient,Adept,Somewhat Capable,Somewhat Familiar,Adept,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,,,,,,,,,,,,,,,,,,2,5,,,,3,6,7,4,1,,Yes,,Male,White
